Name,Link
Matteo di ser Cambio di Bettolo,https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=4677
"Matthews, Wanda Miller",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=35093
"Matthieu, Emil",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=22740
"Mattox, Charles",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=4941
"Matulis, John",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=7819
"Matulka, Jan",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=25833
"Maufra, Maxime",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=22915
"Maufra, Maxime-Camille-Louis",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=22915
"Mauger, Jean",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=21707
"Maugham, William Somerset",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=13000
"Maulbertsch, Franz Anton",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=21051
Maulpertsch,https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=21051
"Mauperche, Henri",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=4942
"Maupin, Paul",https://web.archive.org/web/20121010195632/http://www.nga.gov/cgi-bin/tsearch?artistid=21225
